Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
MGYG000296057	MAG	719234	10	158892	40.88	57.43	1.1	0.00	0.00	67.25	17	CAJWRA01	MGYG000296057	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA6926;f__UBA6926;g__UBA6926;s__UBA6926 sp002450835	ERS7418947	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296057/genomes1/MGYG000296057.gff.gz
MGYG000296058	MAG	2352476	76	47199	38.08	93.33	0.48	0.00	0.00	4.99	18	CAJVWN01	MGYG000296058	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA9320;g__UBA9320;s__UBA9320 sp003484585	ERS7419579	ERP121137	Pacific Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296058/genomes1/MGYG000296058.gff.gz
MGYG000296059	MAG	2852391	73	63939	45.5	89.63	4.71	94.96	0.00	8.68	18	CAJVXY01	MGYG000296059	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__SZUA-150;g__SZUA-150;s__	ERS7419385	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296059/genomes1/MGYG000296059.gff.gz
MGYG000296060	MAG	3380177	26	199441	37.67	100	1.08	0.00	0.00	0.00	19	CAJWCH01	MGYG000296060	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Brumimicrobium;s__Brumimicrobium sp002331485	ERS7419457	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296060/genomes1/MGYG000296060.gff.gz
MGYG000296061	MAG	2850477	125	32543	64.98	97.34	0.51	94.96	21.72	11.76	20	CAJWFJ01	MGYG000296061	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Alteriqipengyuania;s__Alteriqipengyuania sp002377695	ERS7419606	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296061/genomes1/MGYG000296061.gff.gz
MGYG000296062	MAG	3373734	155	41890	36.16	98.67	1.36	0.00	99.67	80.48	20	CAJXVZ01	MGYG000296062	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Psychroflexus;s__	ERS7419001	ERP121137	Puerto Rico	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296062/genomes1/MGYG000296062.gff.gz
MGYG000296063	MAG	2899611	167	24540	38.78	96.53	2.37	0.00	0.00	0.00	15	CAJWRQ01	MGYG000296063	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Gramella;s__	ERS7419310	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296063/genomes1/MGYG000296063.gff.gz
MGYG000296064	MAG	4030256	193	27752	64.12	96.05	3.07	94.96	22.44	13.78	19	CAJWUB01	MGYG000296064	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Thioclava;s__Thioclava sediminum	ERS7418291	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296064/genomes1/MGYG000296064.gff.gz
MGYG000296065	MAG	6587609	311	31720	42.82	57.24	0.0	0.00	0.00	0.00	18	CAJXZM01	MGYG000296065	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Ketobacteraceae;g__42-54-T18;s__	ERS7419388	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296065/genomes1/MGYG000296065.gff.gz
MGYG000296066	MAG	2186062	93	32187	50.21	83.1	2.59	0.00	0.00	0.00	13	CAJVWW01	MGYG000296066	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__HTCC2207;s__	ERS7418723	ERP121137	Pacific Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296066/genomes1/MGYG000296066.gff.gz
MGYG000296067	MAG	1450071	171	12850	48.19	84.86	1.34	95.80	0.00	32.51	17	CAJXVV01	MGYG000296067	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__VMDJ01;s__VMDJ01 sp008080925	ERS7419303	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296067/genomes1/MGYG000296067.gff.gz
MGYG000296068	MAG	1124877	24	55740	39.78	76.21	0.0	0.00	19.96	12.07	19	CAJVZW01	MGYG000296068	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA7916;f__UBA1515;g__UBA1515;s__UBA1515 sp002323935	ERS7418413	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296068/genomes1/MGYG000296068.gff.gz
MGYG000296069	MAG	2456670	380	8115	39.82	87.12	3.95	94.12	0.00	0.00	15	CAJXPP01	MGYG000296069	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__GCA-002733105;s__	ERS7419361	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296069/genomes1/MGYG000296069.gff.gz
MGYG000296070	MAG	1191718	155	11279	35.01	64.18	1.25	92.44	99.67	99.76	17	CAJXQN01	MGYG000296070	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__D2472;g__SCGC-AAA076-P13;s__	ERS7418854	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296070/genomes1/MGYG000296070.gff.gz
MGYG000296071	MAG	2130378	38	88758	40.86	90.91	2.0	94.96	52.45	16.17	19	CAJWVS01	MGYG000296071	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11657;g__UBA11657;s__UBA11657 sp002346435	ERS7419468	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296071/genomes1/MGYG000296071.gff.gz
MGYG000296072	MAG	4000426	33	163615	54.95	92.24	3.33	93.28	21.72	10.97	19	CAJXGC01	MGYG000296072	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA7451;s__UBA7451 sp002457275	ERS7418430	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296072/genomes1/MGYG000296072.gff.gz
MGYG000296073	MAG	1170888	57	31469	37.76	69.23	0.0	94.96	0.00	8.48	14	CAJXIU01	MGYG000296073	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__TCS55;g__UBA2126;s__UBA2126 sp004124385	ERS7418731	ERP121137	Atlantic Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296073/genomes1/MGYG000296073.gff.gz
MGYG000296074	MAG	1098324	26	65128	40.59	95.7	2.15	94.96	21.33	51.42	20	CAJWEC01	MGYG000296074	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA7879;f__UBA7879;g__UBA7879;s__UBA7879 sp002500565	ERS7419202	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296074/genomes1/MGYG000296074.gff.gz
MGYG000296075	MAG	5352655	29	348277	41.01	92.37	2.96	94.12	99.67	99.62	20	CAJXKZ01	MGYG000296075	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Draconibacterium;s__Draconibacterium sediminis	ERS7418833	ERP121137	Puerto Rico	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296075/genomes1/MGYG000296075.gff.gz
MGYG000296076	MAG	2918179	66	94839	39.27	100	0.54	0.00	59.95	8.62	20	CAJXMH01	MGYG000296076	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Vicingaceae;g__UBA5081;s__	ERS7418898	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296076/genomes1/MGYG000296076.gff.gz
MGYG000296077	MAG	4292212	84	82761	37.55	98.99	1.5	94.12	0.00	7.42	16	CAJXVI01	MGYG000296077	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Cognaticolwellia;s__Cognaticolwellia polaris	ERS7419486	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296077/genomes1/MGYG000296077.gff.gz
MGYG000296078	MAG	5001209	134	60744	54.53	95.09	2.39	0.00	0.00	0.00	18	CAJWSP01	MGYG000296078	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Ketobacteraceae;g__Ketobacter;s__Ketobacter sp002471665	ERS7418569	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296078/genomes1/MGYG000296078.gff.gz
MGYG000296079	MAG	4348450	28	244987	50.32	99.14	1.07	94.96	0.00	0.00	20	CAJYBO01	MGYG000296079	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Nitrincolaceae;g__Amphritea;s__	ERS7418299	ERP121137	Pacific Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296079/genomes1/MGYG000296079.gff.gz
MGYG000296080	MAG	3384587	137	41826	32.38	97.76	1.08	94.96	99.22	93.74	18	CAJXTY01	MGYG000296080	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Vicingaceae;g__BRH-c54;s__BRH-c54 sp000961845	ERS7419059	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296080/genomes1/MGYG000296080.gff.gz
MGYG000296081	MAG	3748780	68	123459	34.52	96.98	1.16	0.00	0.00	0.00	15	CAJWQM01	MGYG000296081	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Mesonia;s__Mesonia sp002413625	ERS7419285	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296081/genomes1/MGYG000296081.gff.gz
MGYG000296082	MAG	3675281	760	5419	28.85	78.26	2.41	0.00	0.00	0.00	16	CAJXWI01	MGYG000296082	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__NORP36;s__	ERS7419637	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296082/genomes1/MGYG000296082.gff.gz
MGYG000296083	MAG	1265829	238	5743	43.59	68.11	0.86	0.00	0.00	0.00	18	CAJXDJ01	MGYG000296083	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__GCA-2712585;g__GCA-2712585;s__	ERS7418804	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296083/genomes1/MGYG000296083.gff.gz
MGYG000296084	MAG	4147631	222	28897	46.43	91.32	0.84	94.12	0.00	7.42	17	CAJWRT01	MGYG000296084	d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__NAC60-12;g__UBA1014;s__UBA1014 sp002683785	ERS7418405	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296084/genomes1/MGYG000296084.gff.gz
MGYG000296085	MAG	3687123	173	32546	47.47	86.05	1.82	91.60	15.20	11.21	16	CAJWUR01	MGYG000296085	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9659;s__UBA9659 sp002694945	ERS7418906	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296085/genomes1/MGYG000296085.gff.gz
MGYG000296086	MAG	2203622	153	23583	37.04	89.58	4.73	94.12	9.92	13.74	16	CAJWLQ01	MGYG000296086	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__CACKLF01;s__CACKLF01 sp002725175	ERS7418697	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296086/genomes1/MGYG000296086.gff.gz
MGYG000296087	MAG	5195671	173	53424	44.22	99.43	0.09	92.44	58.84	8.62	19	CAJXRA01	MGYG000296087	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Paraglaciecola;s__Paraglaciecola chathamensis	ERS7418281	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296087/genomes1/MGYG000296087.gff.gz
MGYG000296088	MAG	1751062	193	13097	52.07	82.89	0.0	0.00	0.00	0.00	14	CAJWYB01	MGYG000296088	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__Bin127;g__UBA1328;s__UBA1328 sp002306815	ERS7418233	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296088/genomes1/MGYG000296088.gff.gz
MGYG000296089	MAG	2189887	139	33350	37.52	80.16	2.53	0.00	0.00	0.00	15	CAJWTK01	MGYG000296089	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-002712045;s__GCA-002712045 sp002683355	ERS7419532	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296089/genomes1/MGYG000296089.gff.gz
MGYG000296090	MAG	1695468	86	36118	34.35	70.69	1.72	0.00	0.00	0.00	14	CAJWLP01	MGYG000296090	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA9320;g__UBA9320;s__	ERS7419048	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296090/genomes1/MGYG000296090.gff.gz
MGYG000296091	MAG	7175764	72	277645	61.51	91.94	2.26	0.00	0.00	0.00	20	CAJXTB01	MGYG000296091	d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__GCA-2862545;g__;s__	ERS7419353	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296091/genomes1/MGYG000296091.gff.gz
MGYG000296092	MAG	3778201	329	14408	57.61	66.32	0.0	0.00	0.00	0.00	11	CAJWYO01	MGYG000296092	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E marincola	ERS7419472	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296092/genomes1/MGYG000296092.gff.gz
MGYG000296093	MAG	1906840	129	22903	40.07	82.52	1.69	0.00	17.94	0.00	15	CAJXBN01	MGYG000296093	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__MED-G52;s__MED-G52 sp902631295	ERS7419527	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296093/genomes1/MGYG000296093.gff.gz
MGYG000296094	MAG	2350719	62	54859	55.74	89.63	1.25	94.96	0.00	11.83	19	CAJXHJ01	MGYG000296094	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__UBA868;s__UBA868 sp002694065	ERS7419241	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296094/genomes1/MGYG000296094.gff.gz
MGYG000296095	MAG	4166107	206	33406	44.28	74.51	0.0	94.96	0.00	0.00	9	CAJXRG01	MGYG000296095	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas genovensis	ERS7418872	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296095/genomes1/MGYG000296095.gff.gz
MGYG000296096	MAG	2134350	203	15420	43.68	81.18	0.89	74.79	0.00	0.00	14	CAJWTH01	MGYG000296096	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__	ERS7418679	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296096/genomes1/MGYG000296096.gff.gz
MGYG000296097	MAG	2326690	379	7022	56.31	69.62	0.0	0.00	0.00	0.00	15	CAJWOX01	MGYG000296097	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04;s__MB11C04 sp002500665	ERS7419544	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296097/genomes1/MGYG000296097.gff.gz
MGYG000296098	MAG	1642677	94	23439	53.02	60.69	1.72	0.00	0.00	0.00	11	CAJWSV01	MGYG000296098	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UA16;s__UA16 sp002690915	ERS7418924	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296098/genomes1/MGYG000296098.gff.gz
MGYG000296099	MAG	3595230	72	123780	60.48	99.36	0.32	0.00	0.00	0.00	20	CAJXAD01	MGYG000296099	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter;s__Sulfitobacter pontiacus	ERS7418819	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296099/genomes1/MGYG000296099.gff.gz
MGYG000296100	MAG	4077140	364	15626	59.01	89.75	1.66	0.00	0.00	0.00	19	CAJXZA01	MGYG000296100	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Halocyntiibacter_A;s__Halocyntiibacter_A alkanivorans	ERS7418188	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002961/MGYG000296100/genomes1/MGYG000296100.gff.gz
MGYG000296101	MAG	746529	3	214718	42.82	58.55	0.0	0.00	0.00	0.00	16	CAJVXS01	MGYG000296101	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__GCA-2401735;s__	ERS7419283	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002961/MGYG000296101/genomes1/MGYG000296101.gff.gz
MGYG000296102	MAG	4202834	117	67462	50.61	95.27	0.0	0.00	23.55	0.00	17	CAJWAR01	MGYG000296102	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__UBA2165;g__UBA2165;s__UBA2165 sp002327565	ERS7418505	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002961/MGYG000296102/genomes1/MGYG000296102.gff.gz
MGYG000296103	MAG	1701315	286	6376	54.54	56.21	0.0	0.00	0.00	0.00	6	CAJWGA01	MGYG000296103	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Roseibacillus_B;s__Roseibacillus_B sp002686085	ERS7419505	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002961/MGYG000296103/genomes1/MGYG000296103.gff.gz
MGYG000296104	MAG	4030106	193	40379	54.57	79.05	0.34	94.96	60.47	99.56	15	CAJWNN01	MGYG000296104	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__UBA2993;s__UBA2993 sp002721705	ERS7418564	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002961/MGYG000296104/genomes1/MGYG000296104.gff.gz
MGYG000296105	MAG	2763349	41	147686	34.86	90.27	4.61	0.00	22.90	11.08	19	CAJWFQ01	MGYG000296105	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__GCA-002722245;g__GCA-002722245;s__GCA-002722245 sp002722245	ERS7419418	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002961/MGYG000296105/genomes1/MGYG000296105.gff.gz
MGYG000296106	MAG	3337115	348	13531	30.59	95.73	4.74	0.00	0.00	0.00	18	CAJXXC01	MGYG000296106	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__NORP36;s__NORP36 sp002163065	ERS7419550	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002961/MGYG000296106/genomes1/MGYG000296106.gff.gz
MGYG000296107	MAG	2474658	410	7629	62.05	86.1	2.3	95.80	0.00	10.43	12	CAJWNG01	MGYG000296107	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__UBA822;s__UBA822 sp002731735	ERS7418217	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002961/MGYG000296107/genomes1/MGYG000296107.gff.gz
MGYG000296108	MAG	878505	177	5477	41.25	66.39	0.5	0.00	0.00	0.00	8	CAJWIZ01	MGYG000296108	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__AG-363-K07;s__	ERS7419062	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002961/MGYG000296108/genomes1/MGYG000296108.gff.gz
MGYG000296109	MAG	3601932	309	18581	39.75	94.96	0.56	0.00	0.00	0.00	19	CAJXBQ01	MGYG000296109	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Leeuwenhoekiella;s__Leeuwenhoekiella blandensis	ERS7418213	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002961/MGYG000296109/genomes1/MGYG000296109.gff.gz
MGYG000296110	MAG	1452251	75	27085	51.43	77.82	0.0	89.08	0.00	11.76	18	CAJXYT01	MGYG000296110	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__UBA1847;s__	ERS7418850	ERP121137	Atlantic Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002961/MGYG000296110/genomes1/MGYG000296110.gff.gz
MGYG000296111	MAG	5863957	581	13806	63.04	93.82	1.21	0.00	99.67	38.53	18	CAJXFP01	MGYG000296111	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Planctomycetaceae;g__UBA8437;s__UBA8437 sp003445035	ERS7418590	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002961/MGYG000296111/genomes1/MGYG000296111.gff.gz
MGYG000296112	MAG	922252	59	23531	31.82	79.67	0.0	0.00	0.00	0.00	16	CAJWED01	MGYG000296112	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_B;f__TMED25;g__AG-430-B22;s__AG-430-B22 sp002728335	ERS7418524	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002961/MGYG000296112/genomes1/MGYG000296112.gff.gz
MGYG000296113	MAG	2699494	154	25996	41.31	96.04	0.51	0.00	52.77	0.00	20	CAJXLU01	MGYG000296113	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__RFSX01;s__RFSX01 sp009923745	ERS7419626	ERP121137	Puerto Rico	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002961/MGYG000296113/genomes1/MGYG000296113.gff.gz
